run;weight;alpha;beta;harbourBonus;dist
701;prom;1.73;0.91;1.49;78455.98
180;prom;1.64;0.07;1.00;78456.56
719;prom;1.04;0.60;1.54;78457.05
279;prom;1.04;1.66;1.54;78460.54
946;prom;0.80;1.56;1.55;78460.89
937;farming;0.02;0.78;1.74;78460.93
107;prom;0.82;1.91;1.54;78463.11
910;prom;1.27;1.83;1.53;78465.58
460;prom;0.79;1.00;1.54;78465.68
377;prom;1.76;0.90;1.47;78466.25
579;prom;1.72;1.29;1.50;78466.26
960;prom;1.50;1.13;1.51;78466.81
941;prom;1.52;0.93;1.51;78466.84
392;prom;1.93;0.96;1.42;78469.36
815;farming;0.05;0.59;1.69;78472.59
862;prom;0.45;0.41;1.52;78477.12
989;prom;1.88;0.80;1.39;78478.81
760;prom;0.82;1.72;1.51;78479.12
265;farming;0.03;1.41;1.93;78480.19
592;prom;1.57;1.13;1.48;78481.22
742;prom;1.53;1.41;1.48;78486.43
626;prom;0.95;1.23;1.49;78489.12
550;prom;0.15;1.02;1.51;78489.53
350;farming;0.27;0.53;1.95;78492.51
847;prom;0.40;0.07;1.48;78494.76
524;prom;0.79;0.18;1.47;78495.00
280;prom;1.79;1.25;1.43;78495.78
527;prom;0.15;0.46;1.49;78496.10
768;farming;0.14;0.48;1.70;78496.11
966;farming;0.29;0.22;1.80;78497.24
753;prom;0.46;0.52;1.47;78506.05
263;prom;1.66;0.64;1.36;78507.95
113;prom;1.92;0.18;0.98;78515.26
786;farming;0.05;1.69;1.98;78516.71
282;farming;0.38;0.09;1.78;78517.57
160;prom;1.90;1.79;1.38;78517.64
877;prom;1.53;1.90;1.42;78518.92
285;prom;1.36;1.99;1.42;78521.77
176;prom;0.13;1.13;1.45;78521.90
762;prom;1.60;1.41;1.41;78522.03
612;prom;0.85;1.61;1.44;78522.32
772;prom;1.65;0.60;1.32;78524.90
25;prom;1.82;0.96;1.34;78528.51
85;prom;0.59;1.33;1.43;78528.77
529;prom;0.15;0.93;1.44;78529.29
814;prom;1.07;0.48;1.41;78529.74
417;farming;0.35;0.03;1.66;78530.43
17;prom;1.97;1.02;1.30;78530.58
984;prom;1.96;0.17;0.92;78537.44
387;prom;1.62;1.65;1.39;78537.60
610;prom;0.45;1.80;1.41;78540.25
271;prom;1.06;0.64;1.39;78545.46
358;prom;0.62;1.60;1.40;78546.27
277;prom;1.46;0.14;1.02;78550.35
882;prom;1.16;2.00;1.38;78552.55
289;farming;0.52;0.06;1.87;78554.14
940;prom;0.61;1.55;1.39;78554.24
750;farming;0.32;0.56;1.86;78557.70
225;farming;0.64;0.01;1.96;78560.59
156;prom;1.24;1.33;1.36;78563.30
450;prom;0.44;0.85;1.38;78563.99
448;prom;0.05;1.79;1.38;78566.53
739;prom;0.22;0.74;1.37;78569.28
911;prom;0.61;1.73;1.36;78570.16
533;farming;0.11;1.40;1.81;78573.83
969;prom;0.55;0.93;1.35;78577.01
673;prom;0.05;1.15;1.36;78577.18
777;prom;1.06;1.89;1.34;78579.60
479;prom;0.16;0.76;1.36;78579.81
