code;cost
12_140;1561136
13_1;1605011
13_2;423976
13_3;26669
13_4;227044
13_5;21857
13_6;531089
13_7;302983
13_8;182711
13_9;518090
13_10;18534
13_11;619662
13_12;1418528
13_13;0
13_14;672334
13_15;92075
13_16;530616
13_17;30393
13_18;8252
13_19;1599025
13_20;424355
13_21;285455
13_22;731157
13_23;530445
13_24;422556
13_25;389029
13_26;516936
13_27;465134
13_28;464514
13_29;417894
13_30;738940
13_31;567257
13_32;697654
13_33;394260
13_34;120202
13_35;502436
13_36;250521
13_37;492160
13_38;302611
13_39;342602
13_40;157347
13_41;770190
13_42;1374249
13_43;289745
13_44;234071
13_45;109078
13_46;432969
13_47;28829
13_48;127234
13_49;238206
13_50;516497
13_51;334924
13_52;1779316
13_53;1345044
13_54;629584
13_55;455378
13_56;32031
13_57;164614
13_58;677634
13_59;198624
13_60;315626
13_61;672489
13_62;367424
13_63;504789
13_64;845091
13_65;468870
13_66;70116
13_67;1892084
13_68;539142
13_69;510699
13_70;764638
13_71;261655
13_72;612603
13_73;801119
13_74;1523680
13_75;436778
13_76;788867
13_77;289465
13_78;88999
13_79;144987
13_80;670409
13_81;433385
13_82;535294
13_83;69247
13_84;570384
13_85;221598
13_86;90613
13_87;378120
13_88;324937
13_89;588732
13_90;309358
13_91;237717
13_92;840293
13_93;338732
13_94;357634
13_95;461512
13_96;489921
13_97;718712
13_98;414711
13_99;715167
13_100;497633
13_101;620293
13_102;1535837
13_103;641057
13_104;921570
13_105;415567
13_106;325919
13_107;1416825
13_108;437854
13_109;236891
13_110;1219110
13_111;210155
13_112;139449
13_113;636066
13_114;506853
13_115;714696
13_116;646770
13_117;1349693
13_118;958421
13_119;930332
13_120;410754
13_121;1065612
13_122;363009
13_123;348201
13_124;758002
13_125;506007
13_126;949302
13_127;344535
13_128;1100428
13_129;943048
13_130;948304
13_131;542414
13_132;873964
13_133;456307
13_134;1015172
13_135;1107092
13_136;907311
13_137;942129
13_138;542186
13_139;626151
13_140;724279
14_1;940211
14_2;382895
14_3;678626
14_4;529167
14_5;689623
14_6;312618
14_7;539466
14_8;546769
14_9;305469
14_10;672708
14_11;58223
14_12;842772
14_13;669138
14_14;0
14_15;698479
14_16;303975
14_17;640359
14_18;676482
14_19;934485
14_20;267985
14_21;442974
14_22;660301
14_23;162991
14_24;291212
14_25;415039
14_26;521642
14_27;285458
14_28;278147
14_29;929662
14_30;620662
14_31;983301
14_32;1040561
14_33;480300
14_34;574483
14_35;1024378
14_36;485222
14_37;296889
14_38;459326
14_39;331489
14_40;651602
14_41;1088043
14_42;804174
14_43;414116
14_44;495986
14_45;728512
14_46;921735
14_47;694190
14_48;663056
14_49;511962
14_50;997178
14_51;672054
14_52;1139799
14_53;863528
14_54;808587
14_55;684480
14_56;701005
14_57;678667
14_58;1003464
14_59;495986
14_60;380163
14_61;131541
14_62;920959
14_63;632116
14_64;945732
14_65;973948
14_66;609217
14_67;1297968
14_68;311842
14_69;300867
14_70;180052
14_71;404784
14_72;295597
14_73;220363
14_74;985304
14_75;973907
14_76;218158
14_77;375161
14_78;722025
14_79;542846
14_80;1070846
14_81;288724
14_82;296833
14_83;604261
14_84;1008545
14_85;570295
14_86;732481
14_87;523905
14_88;470931
14_89;1014900
14_90;445266
14_91;815816
14_92;898043
14_93;329674
14_94;391800
14_95;1038459
14_96;1041740
14_97;481387
14_98;895509
14_99;1041838
14_100;399190
14_101;707688
14_102;869041
14_103;949785
14_104;1221579
14_105;837623
14_106;346549
14_107;852762
14_108;849713
14_109;427740
14_110;928468
14_111;454520
14_112;722086
14_113;469370
14_114;1009323
14_115;1122884
14_116;1069083
14_117;681167
14_118;1256336
